7128197,e565a57d-4aec-447e-9b12-6a0eacfd385e-006cc485,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,445.2692,2 м²,0.24 м³,0.0000,0.0000,0,0
7128239,e565a57d-4aec-447e-9b12-6a0eacfd385e-006cc4af,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,680.5547,2 м²,0.32 м³,0.0000,0.0000,0,0
7128337,e565a57d-4aec-447e-9b12-6a0eacfd385e-006cc511,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,405.0048,1 м²,0.18 м³,0.0000,0.0000,0,0
7128410,e565a57d-4aec-447e-9b12-6a0eacfd385e-006cc55a,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,680.5547,2 м²,0.26 м³,0.0000,0.0000,0,0
7128499,e565a57d-4aec-447e-9b12-6a0eacfd385e-006cc5b3,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,2895.0000,11 м²,1.39 м³,0.0000,0.0000,0,0
7128577,e565a57d-4aec-447e-9b12-6a0eacfd385e-006cc601,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,405.0000,1 м²,0.16 м³,0.0000,0.0000,0,0
7128886,e565a57d-4aec-447e-9b12-6a0eacfd385e-006cc736,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,1590.4189,5 м²,0.68 м³,0.0000,0.0000,0,0
7129253,281e6a1a-7110-4ad6-b789-a8d460af7810-006cc8a5,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,654.8609,2 м²,0.29 м³,0.0000,0.0000,0,0
7129483,281e6a1a-7110-4ad6-b789-a8d460af7810-006cc98b,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,619.8609,2 м²,0.29 м³,0.0000,0.0000,0,0
7129555,281e6a1a-7110-4ad6-b789-a8d460af7810-006cc9d3,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,664.4322,2 м²,0.25 м³,0.0000,0.0000,0,0
7129642,281e6a1a-7110-4ad6-b789-a8d460af7810-006cca2a,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,2050.0000,7 м²,0.87 м³,0.0000,0.0000,0,0
7129712,281e6a1a-7110-4ad6-b789-a8d460af7810-006cca70,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,2200.0000,7 м²,0.94 м³,0.0000,0.0000,0,0
7129784,281e6a1a-7110-4ad6-b789-a8d460af7810-006ccab8,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,705.0123,2 м²,0.31 м³,0.0000,0.0000,0,0
7129862,281e6a1a-7110-4ad6-b789-a8d460af7810-006ccb06,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,2165.0000,7 м²,0.94 м³,0.0000,0.0000,0,0
7129929,281e6a1a-7110-4ad6-b789-a8d460af7810-006ccb49,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,400.0000,1 м²,0.13 м³,0.0000,0.0000,0,0
7144637,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d04bd,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,415.0000,1 м²,0.12 м³,0.0000,0.0000,0,0
7144694,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d04f6,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,3218.8924,11 м²,1.49 м³,0.0000,0.0000,0,0
7144777,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0549,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,1526.5623,5 м²,0.64 м³,0.0000,0.0000,0,0
7144900,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d05c4,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,199.8557,1 м²,0.09 м³,0.0000,0.0000,0,0
7144962,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0602,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,438.4388,1 м²,0.14 м³,0.0000,0.0000,0,0
7145075,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0673,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,1965.0011,6 м²,0.84 м³,0.0000,0.0000,0,0
7145151,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d06bf,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,674.7046,3 м²,0.38 м³,0.0000,0.0000,0,0
7145220,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0704,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,380.0000,1 м²,0.12 м³,0.0000,0.0000,0,0
7145332,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0774,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,380.0000,1 м²,0.12 м³,0.0000,0.0000,0,0
7145392,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d07b0,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,1370.0000,5 м²,0.64 м³,0.0000,0.0000,0,0
7145481,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0809,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,415.0000,1 м²,0.12 м³,0.0000,0.0000,0,0
7145547,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d084b,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,415.0000,1 м²,0.12 м³,0.0000,0.0000,0,0
7145625,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0899,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,1985.0025,7 м²,0.91 м³,0.0000,0.0000,0,0
7145720,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d08f8,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,2424.9992,8 м²,1.06 м³,0.0000,0.0000,0,0
7145798,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0946,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,1965.0011,7 м²,0.90 м³,0.0000,0.0000,0,0
7145870,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d098e,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,715.0000,3 м²,0.38 м³,0.0000,0.0000,0,0
7145961,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d09e9,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,725.0000,2 м²,0.26 м³,0.0000,0.0000,0,0
7146000,2e641d1e-a7ec-42c2-979c-eeb18a121bdf-006d0a10,2.4.3.3.1,(1) Первый этаж,,Стены,АР_силикатные блоки 130 мм,,725.0000,2 м²,0.26 м³,0.0000,0.0000,0,0
