7387178,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070b82a,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387277,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070b88d,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387332,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070b8c4,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387465,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070b949,,(1) План первого этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387536,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070b990,,(1) План первого этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387579,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070b9bb,,(1) План первого этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387628,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070b9ec,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387693,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070ba2d,,(1) План первого этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387736,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070ba58,,(1) План первого этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7387775,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070ba7f,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7388395,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070bceb,,(1) План первого этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7388504,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070bd58,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7388549,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070bd85,,(1) План первого этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7388756,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070be54,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7388841,d60fb342-b7af-4e6a-8c4a-70e2db8fed79-0070bea9,,(1) План первого этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389910,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2d6,,(2) План второго этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389911,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2d7,,(2) План второго этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389912,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2d8,,(2) План второго этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389913,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2d9,,(2) План второго этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389914,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2da,,(2) План второго этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389915,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2db,,(2) План второго этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389916,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2dc,,(2) План второго этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389918,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2de,,(2) План второго этажа,2,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
7389919,cac9bf7b-4768-4dfb-880e-31ddba462b71-0070c2df,,(2) План второго этажа,1,Специальное оборудование,Family Type: Индикатор безопасности, Family: Индикатор безопасности,Индикатор безопасности,0,6 м²,4.19 м³,0,0,0,0
